fname,itp,tp_prob,its,ts_prob
HK.HKCC2.npz_171000.npz,[],[],[],[]
HK.HKCC2.npz_169500.npz,[],[],[],[]
HK.HKCC2.npz_168000.npz,[],[],[],[]
HK.HKCC2.npz_177000.npz,[],[],[],[]
HK.HKCC2.npz_172500.npz,[],[],[],[]
HK.HKCC2.npz_186000.npz,[],[],[],[]
HK.HKCC2.npz_178500.npz,[],[],[],[]
HK.HKCC2.npz_187500.npz,[],[],[],[]
HK.HKCC2.npz_183000.npz,[],[],[],[]
HK.HKCC2.npz_181500.npz,[],[],[],[]
HK.HKCC2.npz_180000.npz,[],[],[],[]
HK.HKCC2.npz_189000.npz,[],[],[],[]
HK.HKCC2.npz_184500.npz,[],[],[],[]
HK.HKCC2.npz_198000.npz,[2535],[ 0.6267903],[],[]
HK.HKCC2.npz_190500.npz,[],[],[],[]
HK.HKCC2.npz_199500.npz,[],[],[],[]
HK.HKCC2.npz_195000.npz,[],[],[],[]
HK.HKCC2.npz_193500.npz,[],[],[],[]
HK.HKCC2.npz_192000.npz,[],[],[],[]
HK.HKCC2.npz_201000.npz,[],[],[],[]
HK.HKCC2.npz_196500.npz,[],[],[],[]
HK.HKCC2.npz_210000.npz,[],[],[],[]
HK.HKCC2.npz_202500.npz,[],[],[],[]
HK.HKCC2.npz_211500.npz,[],[],[],[]
HK.HKCC2.npz_207000.npz,[],[],[],[]
HK.HKCC2.npz_205500.npz,[],[],[],[]
HK.HKCC2.npz_204000.npz,[],[],[],[]
HK.HKCC2.npz_213000.npz,[],[],[],[]
HK.HKCC2.npz_208500.npz,[],[],[],[]
HK.HKCC2.npz_222000.npz,[],[],[],[]
HK.HKCC2.npz_214500.npz,[],[],[],[]
HK.HKCC2.npz_223500.npz,[],[],[],[]
HK.HKCC2.npz_219000.npz,[],[],[],[]
HK.HKCC2.npz_217500.npz,[],[],[],[]
HK.HKCC2.npz_216000.npz,[],[],[],[]
HK.HKCC2.npz_225000.npz,[],[],[],[]
HK.HKCC2.npz_220500.npz,[],[],[],[]
HK.HKCC2.npz_234000.npz,[],[],[],[]
HK.HKCC2.npz_226500.npz,[],[],[],[]
HK.HKCC2.npz_235500.npz,[],[],[],[]
HK.HKCC2.npz_231000.npz,[],[],[],[]
HK.HKCC2.npz_229500.npz,[],[],[],[]
HK.HKCC2.npz_228000.npz,[],[],[],[]
HK.HKCC2.npz_237000.npz,[],[],[],[]
HK.HKCC2.npz_232500.npz,[],[],[],[]
HK.HKCC2.npz_246000.npz,[],[],[],[]
HK.HKCC2.npz_238500.npz,[],[],[],[]
HK.HKCC2.npz_247500.npz,[],[],[],[]
HK.HKCC2.npz_243000.npz,[],[],[],[]
HK.HKCC2.npz_241500.npz,[],[],[],[]
HK.HKCC2.npz_240000.npz,[],[],[],[]
HK.HKCC2.npz_249000.npz,[],[],[],[]
HK.HKCC2.npz_244500.npz,[],[],[],[]
HK.HKCC2.npz_258000.npz,[],[],[],[]
HK.HKCC2.npz_250500.npz,[],[],[],[]
HK.HKCC2.npz_259500.npz,[],[],[311],[ 0.41113266]
HK.HKCC2.npz_255000.npz,[],[],[],[]
HK.HKCC2.npz_253500.npz,[],[],[],[]
HK.HKCC2.npz_252000.npz,[],[],[],[]
HK.HKCC2.npz_261000.npz,[],[],[],[]
HK.HKCC2.npz_256500.npz,[],[],[],[]
HK.HKCC2.npz_270000.npz,[],[],[],[]
HK.HKCC2.npz_262500.npz,[],[],[],[]
HK.HKCC2.npz_271500.npz,[],[],[],[]
HK.HKCC2.npz_267000.npz,[],[],[],[]
HK.HKCC2.npz_265500.npz,[],[],[],[]
HK.HKCC2.npz_264000.npz,[],[],[],[]
HK.HKCC2.npz_273000.npz,[],[],[],[]
HK.HKCC2.npz_268500.npz,[2145],[ 0.31133583],[],[]
HK.HKCC2.npz_282000.npz,[],[],[],[]
HK.HKCC2.npz_274500.npz,[],[],[],[]
HK.HKCC2.npz_283500.npz,[],[],[],[]
HK.HKCC2.npz_279000.npz,[],[],[],[]
HK.HKCC2.npz_277500.npz,[],[],[],[]
HK.HKCC2.npz_276000.npz,[],[],[],[]
HK.HKCC2.npz_285000.npz,[],[],[],[]
HK.HKCC2.npz_280500.npz,[],[],[],[]
