fname,itp,tp_prob,its,ts_prob
CCC.mseed_297000,[1340],[ 0.9495678],[1689 2627],[ 0.72952366  0.33160987]
CCC.mseed_300000,[ 848 1831],[ 0.74032897  0.82322705],[ 408 1174 2176],[ 0.833819   0.6445481  0.8183521]
CCC.mseed_303000,[1140 2156],[ 0.6548506  0.5560239],[1524 2692],[ 0.8088188   0.71443623]
CCC.mseed_306000,[2216],[ 0.8717685],[2536],[ 0.848786]
CCC.mseed_309000,[2026],[ 0.9684341],[2445],[ 0.7126006]
CCC.mseed_312000,[1093],[ 0.5674527],[1817],[ 0.5826507]
CCC.mseed_315000,[1677],[ 0.9820188],[ 995 2073],[ 0.37188148  0.8121495 ]
CCC.mseed_318000,[ 997 1965],[ 0.33721837  0.91537076],[1435 2282],[ 0.37963557  0.7329702 ]
CCC.mseed_321000,[1853],[ 0.30501962],[ 362 2265 2817],[ 0.7561999  0.5563493  0.3027895]
CCC.mseed_324000,[895],[ 0.84931254],[1202],[ 0.6121477]
CCC.mseed_327000,[1689 2441],[ 0.805223    0.76017094],[ 100 1961 2569],[ 0.8126458   0.6020994   0.79074574]
CCC.mseed_330000,[ 403 2456],[ 0.9744124  0.7228212],[742],[ 0.9107431]
CCC.mseed_333000,[ 514 2116 2926],[ 0.7798234   0.8485466   0.90745056],[ 836 2551],[ 0.6768046   0.45143548]
CCC.mseed_336000,[ 747 1472],[ 0.45259652  0.38849202],[ 273 1118],[ 0.8147559  0.7380374]
CCC.mseed_339000,[],[],[41],[ 0.87934965]
CCC.mseed_342000,[],[],[274],[ 0.66681755]
CCC.mseed_345000,[ 573 1699],[ 0.9528336  0.9546658],[ 912 2021],[ 0.5580985   0.92776984]
CCC.mseed_348000,[735],[ 0.96315056],[1096],[ 0.83009976]
CCC.mseed_351000,[ 505 2311],[ 0.3575255   0.84090704],[ 740 1635 2656],[ 0.461441    0.47940212  0.88374907]
CCC.mseed_354000,[ 103 1608],[ 0.3819377   0.49236375],[113 961],[ 0.44673672  0.68902934]
CCC.mseed_357000,[  64 1340 2279],[ 0.9157594   0.9770222   0.85103875],[ 366 1704 2609],[ 0.8996518   0.8452029   0.40431753]
CCC.mseed_360000,[ 426 1735],[ 0.97058105  0.78816175],[ 762 2100],[ 0.8342779  0.7190548]
CCC.mseed_363000,[ 291 1468],[ 0.31517687  0.96051127],[ 393 1828],[ 0.35423383  0.69957477]
CCC.mseed_366000,[ 568 2779],[ 0.87787193  0.9290965 ],[897],[ 0.7373519]
CCC.mseed_369000,[576],[ 0.76965284],[136 925],[ 0.58903784  0.7235309 ]
CCC.mseed_372000,[ 305 2131],[ 0.9089974  0.4764967],[ 668 2715],[ 0.8427192  0.5043361]
CCC.mseed_375000,[1214 2859],[ 0.9764445   0.95425427],[ 366 1654],[ 0.55250907  0.8136927 ]
CCC.mseed_378000,[2416],[ 0.97787243],[ 198 2852],[ 0.87481296  0.88268757]
CCC.mseed_381000,[ 787 1544],[ 0.3674977   0.88221025],[1131 1944],[ 0.36616236  0.8345012 ]
CCC.mseed_384000,[972],[ 0.95563334],[1313],[ 0.7174075]
CCC.mseed_387000,[305],[ 0.92142296],[ 637 2721],[ 0.6578868   0.69592035]
CCC.mseed_390000,[ 233 1316],[ 0.3859808   0.88216174],[ 614 1729],[ 0.48643014  0.8321029 ]
CCC.mseed_393000,[1686],[ 0.97093797],[2080],[ 0.85492283]
CCC.mseed_396000,[2052],[ 0.84841955],[2382],[ 0.78246045]
CCC.mseed_399000,[2541],[ 0.80623186],[2888],[ 0.37040985]
CCC.mseed_402000,[1404],[ 0.8963163],[1797],[ 0.7175892]
CCC.mseed_405000,[2612],[ 0.93618345],[81],[ 0.31207734]
CCC.mseed_408000,[],[],[  39 2360],[ 0.8876356   0.82613355]
CCC.mseed_411000,[ 730 1981],[ 0.9441253   0.68236834],[1098 2391],[ 0.7947958   0.30129457]
CCC.mseed_414000,[2627],[ 0.6754044],[1264],[ 0.420821]
CCC.mseed_417000,[778],[ 0.8692024],[ 119 1136],[ 0.62456334  0.9319812 ]
CCC.mseed_420000,[1558 2319],[ 0.959227    0.37382615],[1968 2777],[ 0.8292517   0.44511163]
CCC.mseed_423000,[714],[ 0.97328824],[1065],[ 0.89788043]
CCC.mseed_426000,[2753],[ 0.7812419],[256],[ 0.8034942]
CCC.mseed_429000,[2457],[ 0.64111733],[ 105 2812],[ 0.89488393  0.5333583 ]
CCC.mseed_432000,[2168],[ 0.80179685],[2518],[ 0.806343]
CCC.mseed_435000,[2675],[ 0.9473026],[],[]
CCC.mseed_438000,[],[],[47],[ 0.8750245]
CCC.mseed_441000,[2591],[ 0.9161317],[2938],[ 0.8333764]
CCC.mseed_444000,[],[],[74],[ 0.51304674]
CCC.mseed_447000,[ 953 2871],[ 0.9670623  0.8935678],[1308],[ 0.75723016]
CCC.mseed_450000,[ 948 1723],[ 0.929533   0.9131077],[1314 2054],[ 0.8878764   0.84719825]
CCC.mseed_453000,[],[],[650],[ 0.84062576]
CCC.mseed_456000,[ 918 2482],[ 0.9780392   0.84819204],[1276 2842],[ 0.8477881   0.66176337]
CCC.mseed_459000,[894],[ 0.9785428],[1301],[ 0.77946025]
CCC.mseed_462000,[2043],[ 0.9824867],[2445],[ 0.74919116]
CCC.mseed_465000,[],[],[],[]
CCC.mseed_468000,[135],[ 0.9398481],[ 566 2073 2907],[ 0.7609615   0.38973722  0.41134825]
CCC.mseed_471000,[2072],[ 0.9668337],[2455],[ 0.91567194]
CCC.mseed_474000,[2561],[ 0.42845544],[  55 1754 2960],[ 0.55542475  0.7751396   0.8064703 ]
CCC.mseed_477000,[2464],[ 0.81794864],[  87 2720],[ 0.4458694  0.8037741]
CCC.mseed_480000,[ 260 1180 2489],[ 0.96387     0.51461464  0.98177814],[ 614 1513 2837],[ 0.8715609   0.691478    0.93119574]
CCC.mseed_483000,[2077],[ 0.73498976],[2355],[ 0.43492523]
CCC.mseed_486000,[ 708  947 1917],[ 0.6493415   0.47317445  0.35432744],[1132 2343],[ 0.8485349  0.7461543]
CCC.mseed_489000,[],[],[309],[ 0.8673686]
CCC.mseed_492000,[944],[ 0.32898328],[  50 1270],[ 0.6632747   0.60603225]
CCC.mseed_495000,[ 220 1666 2491],[ 0.62842685  0.9580061   0.36381897],[ 593 2004 2617],[ 0.60581094  0.9012393   0.63361657]
CCC.mseed_498000,[72],[ 0.90146154],[409],[ 0.7532304]
CCC.mseed_501000,[1029 2096],[ 0.95244044  0.714652  ],[1426 2469],[ 0.8063883  0.8717779]
CCC.mseed_504000,[1635 2249],[ 0.8155224   0.52326775],[2546],[ 0.6508577]
CCC.mseed_507000,[2829],[ 0.46311107],[2332],[ 0.6529295]
CCC.mseed_510000,[ 995 2355],[ 0.53503984  0.9155797 ],[ 193 1380],[ 0.67496634  0.6129118 ]
CCC.mseed_513000,[558],[ 0.9581652],[926],[ 0.9134687]
CCC.mseed_516000,[826],[ 0.9430392],[1154],[ 0.8336861]
CCC.mseed_519000,[ 484 2457],[ 0.66812396  0.4560239 ],[  58  812 2779],[ 0.44645387  0.5475803   0.3953095 ]
CCC.mseed_522000,[],[],[1817],[ 0.55445457]
CCC.mseed_525000,[119],[ 0.96529305],[456],[ 0.90223163]
CCC.mseed_528000,[514],[ 0.92267007],[957],[ 0.5601737]
CCC.mseed_531000,[1838],[ 0.97791433],[2205],[ 0.75625193]
CCC.mseed_534000,[],[],[],[]
CCC.mseed_537000,[797],[ 0.52034396],[1207],[ 0.38154462]
CCC.mseed_540000,[1243 2560],[ 0.8341915  0.6992455],[1586],[ 0.8736686]
CCC.mseed_543000,[1926],[ 0.9539305],[ 781 1361 2273],[ 0.4983409   0.48150828  0.6944929 ]
CCC.mseed_546000,[ 300  503 1071 2119 2805],[ 0.32457158  0.7675978   0.9480786   0.91480386  0.9040883 ],[ 700 1434 2478],[ 0.7950318   0.92114323  0.806989  ]
CCC.mseed_549000,[ 332 1136 1225],[ 0.31002426  0.464341    0.4257985 ],[ 708 1431],[ 0.85694534  0.6391187 ]
CCC.mseed_552000,[1662 2501],[ 0.30141118  0.60705435],[  55 1667 2571],[ 0.32282624  0.43787986  0.32747573]
CCC.mseed_555000,[1783 2793],[ 0.8957886   0.36751017],[ 206 2124],[ 0.7499012   0.71625143]
CCC.mseed_558000,[1612],[ 0.9026602],[ 142 1974],[ 0.7453913   0.81797504]
CCC.mseed_561000,[2139],[ 0.98074234],[ 336 2496],[ 0.57170224  0.6142736 ]
CCC.mseed_564000,[],[],[1207],[ 0.49145]
CCC.mseed_567000,[2361],[ 0.60450906],[2726],[ 0.7225523]
CCC.mseed_570000,[2302],[ 0.9629554],[2638],[ 0.8785779]
CCC.mseed_573000,[1995],[ 0.8683434],[2897],[ 0.7086777]
CCC.mseed_576000,[],[],[667],[ 0.34575325]
CCC.mseed_579000,[2514],[ 0.952828],[2856],[ 0.8914657]
CCC.mseed_582000,[],[],[],[]
CCC.mseed_585000,[715],[ 0.97824687],[1133],[ 0.85460573]
CCC.mseed_588000,[1721 2485],[ 0.7940289   0.60159624],[ 503 2102 2983],[ 0.57937986  0.53738934  0.31400958]
CCC.mseed_591000,[2017],[ 0.9795888],[ 118 2374],[ 0.65699494  0.8903245 ]
CCC.mseed_594000,[],[],[381],[ 0.59533453]
CCC.mseed_597000,[1904],[ 0.8162467],[2278],[ 0.76039076]
CCC.mseed_600000,[],[],[51],[ 0.35992247]
CCC.mseed_603000,[],[],[],[]
CCC.mseed_606000,[ 110 1874],[ 0.9381599  0.9765995],[ 464 2217],[ 0.82457215  0.69497097]
CCC.mseed_609000,[1940],[ 0.8520262],[2284],[ 0.7701739]
CCC.mseed_612000,[ 723 1893],[ 0.9071129   0.49355084],[1208 2283],[ 0.5182009   0.34797212]
CCC.mseed_615000,[1296],[ 0.872605],[1618],[ 0.628965]
CCC.mseed_618000,[1523 2328],[ 0.9204557  0.8276499],[ 474 1904 2686],[ 0.7576831   0.6619704   0.82934564]
CCC.mseed_621000,[1305 2217],[ 0.5305051  0.5394239],[1682 2388],[ 0.7841486   0.80416864]
CCC.mseed_624000,[ 707 1403 2181],[ 0.9337746   0.94112813  0.7677248 ],[1061 1762 2244],[ 0.67400825  0.8681278   0.7578045 ]
CCC.mseed_627000,[51],[ 0.97993124],[474],[ 0.90911096]
CCC.mseed_630000,[1968],[ 0.61628306],[2394 2841],[ 0.6927272  0.3131539]
CCC.mseed_633000,[1615],[ 0.85962206],[1972],[ 0.7983678]
CCC.mseed_636000,[ 311 1069 1827],[ 0.90736103  0.7970985   0.8737876 ],[ 690 1478 2193],[ 0.54138464  0.7478417   0.7173018 ]
CCC.mseed_639000,[ 360 1154 2720],[ 0.49025276  0.9603382   0.8373268 ],[ 734 1506 2986],[ 0.70187587  0.8471582   0.5317338 ]
