HK.HKCC2.mseed_0,[],[],[],[]
HK.HKCC2.mseed_3000,[],[],[],[]
HK.HKCC2.mseed_6000,[],[],[],[]
HK.HKCC2.mseed_9000,[1657],[ 0.366205],[],[]
HK.HKCC2.mseed_12000,[],[],[],[]
HK.HKCC2.mseed_15000,[],[],[],[]
HK.HKCC2.mseed_18000,[],[],[],[]
HK.HKCC2.mseed_21000,[],[],[],[]
HK.HKCC2.mseed_24000,[],[],[],[]
HK.HKCC2.mseed_27000,[],[],[],[]
HK.HKCC2.mseed_30000,[],[],[],[]
HK.HKCC2.mseed_33000,[],[],[],[]
HK.HKCC2.mseed_36000,[],[],[],[]
HK.HKCC2.mseed_39000,[],[],[],[]
HK.HKCC2.mseed_42000,[],[],[],[]
HK.HKCC2.mseed_45000,[],[],[585],[ 0.56646156]
HK.HKCC2.mseed_48000,[],[],[],[]
HK.HKCC2.mseed_51000,[],[],[],[]
HK.HKCC2.mseed_54000,[],[],[],[]
HK.HKCC2.mseed_57000,[],[],[],[]
HK.HKCC2.mseed_60000,[],[],[],[]
HK.HKCC2.mseed_63000,[],[],[],[]
HK.HKCC2.mseed_66000,[],[],[],[]
HK.HKCC2.mseed_69000,[2848],[ 0.5526612],[],[]
HK.HKCC2.mseed_72000,[],[],[],[]
HK.HKCC2.mseed_75000,[],[],[],[]
HK.HKCC2.mseed_78000,[],[],[],[]
HK.HKCC2.mseed_81000,[],[],[],[]
HK.HKCC2.mseed_84000,[],[],[],[]
HK.HKCC2.mseed_87000,[],[],[],[]
HK.HKCC2.mseed_90000,[],[],[],[]
HK.HKCC2.mseed_93000,[],[],[],[]
HK.HKCC2.mseed_96000,[],[],[],[]
HK.HKCC2.mseed_99000,[],[],[],[]
HK.HKCC2.mseed_102000,[],[],[],[]
HK.HKCC2.mseed_105000,[],[],[],[]
HK.HKCC2.mseed_108000,[],[],[],[]
HK.HKCC2.mseed_111000,[],[],[],[]
HK.HKCC2.mseed_114000,[],[],[],[]
HK.HKCC2.mseed_117000,[],[],[],[]
HK.HKCC2.mseed_120000,[],[],[],[]
HK.HKCC2.mseed_123000,[],[],[],[]
HK.HKCC2.mseed_126000,[],[],[],[]
HK.HKCC2.mseed_129000,[],[],[],[]
HK.HKCC2.mseed_132000,[],[],[],[]
HK.HKCC2.mseed_135000,[],[],[],[]
HK.HKCC2.mseed_138000,[],[],[],[]
HK.HKCC2.mseed_141000,[],[],[],[]
HK.HKCC2.mseed_144000,[],[],[],[]
HK.HKCC2.mseed_147000,[],[],[],[]
HK.HKCC2.mseed_150000,[],[],[],[]
HK.HKCC2.mseed_153000,[],[],[],[]
HK.HKCC2.mseed_156000,[],[],[],[]
HK.HKCC2.mseed_159000,[],[],[],[]
HK.HKCC2.mseed_162000,[],[],[],[]
HK.HKCC2.mseed_165000,[],[],[],[]
HK.HKCC2.mseed_168000,[],[],[],[]
HK.HKCC2.mseed_171000,[],[],[],[]
HK.HKCC2.mseed_174000,[],[],[],[]
HK.HKCC2.mseed_177000,[],[],[],[]
HK.HKCC2.mseed_180000,[],[],[],[]
HK.HKCC2.mseed_183000,[],[],[],[]
HK.HKCC2.mseed_186000,[],[],[],[]
HK.HKCC2.mseed_189000,[],[],[],[]
HK.HKCC2.mseed_192000,[],[],[],[]
HK.HKCC2.mseed_195000,[],[],[],[]
HK.HKCC2.mseed_198000,[],[],[],[]
HK.HKCC2.mseed_201000,[],[],[],[]
