fname,itp,tp_prob,its,ts_prob
HK.HKPS.mseed_228000,[],[],[],[]
HK.HKPS.mseed_231000,[],[],[],[]
HK.HKPS.mseed_234000,[],[],[],[]
HK.HKPS.mseed_237000,[],[],[],[]
HK.HKPS.mseed_240000,[],[],[],[]
HK.HKPS.mseed_243000,[],[],[],[]
HK.HKPS.mseed_246000,[],[],[],[]
HK.HKPS.mseed_249000,[],[],[],[]
HK.HKPS.mseed_252000,[],[],[],[]
HK.HKPS.mseed_255000,[],[],[],[]
HK.HKPS.mseed_258000,[],[],[],[]
HK.HKPS.mseed_261000,[],[],[],[]
HK.HKPS.mseed_264000,[],[],[],[]
HK.HKPS.mseed_267000,[],[],[],[]
HK.HKPS.mseed_270000,[],[],[],[]
HK.HKPS.mseed_273000,[],[],[],[]
HK.HKPS.mseed_276000,[],[],[],[]
HK.HKPS.mseed_279000,[],[],[],[]
HK.HKPS.mseed_282000,[],[],[],[]
HK.HKPS.mseed_285000,[],[],[],[]
HK.HKPS.mseed_288000,[],[],[],[]
HK.HKPS.mseed_291000,[],[],[],[]
HK.HKPS.mseed_294000,[],[],[],[]
HK.HKPS.mseed_297000,[],[],[],[]
HK.HKPS.mseed_300000,[],[],[],[]
HK.HKPS.mseed_303000,[],[],[],[]
HK.HKPS.mseed_306000,[],[],[],[]
HK.HKPS.mseed_309000,[],[],[],[]
HK.HKPS.mseed_312000,[],[],[],[]
HK.HKPS.mseed_315000,[],[],[],[]
HK.HKPS.mseed_318000,[],[],[],[]
HK.HKPS.mseed_321000,[],[],[],[]
HK.HKPS.mseed_324000,[],[],[],[]
HK.HKPS.mseed_327000,[],[],[],[]
HK.HKPS.mseed_330000,[],[],[],[]
HK.HKPS.mseed_168000,[],[],[],[]
HK.HKPS.mseed_171000,[],[],[],[]
HK.HKPS.mseed_174000,[],[],[],[]
HK.HKPS.mseed_177000,[],[],[],[]
HK.HKPS.mseed_180000,[],[],[],[]
HK.HKPS.mseed_183000,[],[],[],[]
HK.HKPS.mseed_186000,[],[],[],[]
